condition,rank,signal,experiment,modality,id,pid
random,3,idle,17,kinetic,385,4
contrastive+autoencoder,4,idle,17,kinetic,389,4
contrastive+autoencoder,0,idle,18,kinetic,1299,4
contrastive,1,idle,18,kinetic,1328,4
random,2,idle,18,kinetic,1279,4
autoencoder,3,idle,18,kinetic,1294,4
VAE,4,idle,18,kinetic,1291,4
contrastive,0,idle,19,visual,662,4
contrastive+autoencoder,1,idle,19,visual,5786,4
autoencoder,2,idle,19,visual,2014,4
VAE,3,idle,19,visual,3325,4
random,4,idle,19,visual,3324,4
contrastive,0,idle,20,auditory,145,4
VAE,1,idle,20,auditory,323,4
random,2,idle,20,auditory,233,4
contrastive+autoencoder,3,idle,20,auditory,637,4
autoencoder,4,idle,20,auditory,524,4
